ip,port,server
192.168.11.3,80,http
192.168.11.12,22,ssh
192.168.11.12,80,http
192.168.11.7,135,RPC
192.168.11.7,139,NetBIOS
192.168.11.59,21,ftp
192.168.11.49,21,ftp
192.168.11.49,22,ssh
192.168.11.63,21,ftp
192.168.11.44,22,ssh
192.168.11.63,22,ssh
192.168.11.59,22,ssh
192.168.11.30,139,NetBIOS
192.168.11.30,135,RPC
192.168.11.7,445,SMB
192.168.11.61,80,http
192.168.11.19,135,RPC
192.168.11.49,80,http
192.168.11.3,554,RTSP
192.168.11.63,81,http
192.168.11.59,80,http
192.168.11.20,135,RPC
192.168.11.49,81,http
192.168.11.63,80,http
192.168.11.19,139,NetBIOS
192.168.11.130,22,ssh
192.168.11.86,80,http
192.168.11.61,135,RPC
192.168.11.131,21,ftp
192.168.11.131,22,ssh
192.168.11.44,80,http
192.168.11.20,139,NetBIOS
192.168.11.30,445,SMB
192.168.11.155,21,ftp
192.168.11.152,22,ssh
192.168.11.155,22,ssh
192.168.11.61,139,NetBIOS
192.168.11.152,21,ftp
192.168.11.151,22,ssh
192.168.11.68,135,RPC
192.168.11.86,135,RPC
192.168.11.147,80,http
192.168.11.191,21,ftp
192.168.11.195,21,ftp
192.168.11.100,135,RPC
192.168.11.188,21,ftp
192.168.11.19,445,SMB
192.168.11.188,22,ssh
192.168.11.68,139,NetBIOS
192.168.11.130,80,http
192.168.11.195,22,ssh
192.168.11.131,81,http
192.168.11.95,135,RPC
192.168.11.152,80,http
192.168.11.155,80,http
192.168.11.147,135,RPC
192.168.11.86,139,NetBIOS
192.168.11.20,445,SMB
192.168.11.155,81,http
192.168.11.131,80,http
192.168.11.104,135,RPC
192.168.11.100,139,NetBIOS
192.168.11.95,139,NetBIOS
192.168.11.82,135,RPC
192.168.11.121,135,RPC
192.168.11.61,445,SMB
192.168.11.121,139,NetBIOS
192.168.11.85,135,RPC
192.168.11.147,139,NetBIOS
192.168.11.104,139,NetBIOS
192.168.11.102,135,RPC
192.168.11.126,135,RPC
192.168.11.80,135,RPC
192.168.11.147,445,SMB
192.168.11.63,443,https
192.168.11.85,139,NetBIOS
192.168.11.102,139,NetBIOS
192.168.11.49,443,https
192.168.11.86,443,https
192.168.11.200,135,RPC
192.168.11.121,445,SMB
192.168.11.7,3306,MySQL
192.168.11.200,139,NetBIOS
192.168.11.3,3389,Remote Desktop Protocol (RDP)
192.168.11.131,443,https
192.168.11.68,445,SMB
192.168.11.69,139,NetBIOS
192.168.11.95,445,SMB
192.168.11.59,443,https
192.168.11.82,139,NetBIOS
192.168.11.195,80,http
192.168.11.126,139,NetBIOS
192.168.11.86,445,SMB
192.168.11.100,445,SMB
192.168.11.152,443,https
192.168.11.191,80,http
192.168.11.104,445,SMB
192.168.11.85,445,SMB
192.168.11.44,443,https
192.168.11.96,135,RPC
192.168.11.200,445,SMB
192.168.11.102,445,SMB
192.168.11.130,443,https
192.168.11.12,3306,MySQL
192.168.11.80,443,https
192.168.11.69,445,SMB
192.168.11.157,135,RPC
192.168.11.155,443,https
192.168.11.96,139,NetBIOS
192.168.11.106,135,RPC
192.168.11.126,445,SMB
192.168.11.147,3306,MySQL
192.168.11.168,3306,MySQL
192.168.11.82,445,SMB
192.168.11.7,8088,http
192.168.11.106,139,NetBIOS
192.168.11.95,3306,MySQL
192.168.11.195,443,https
192.168.11.157,139,NetBIOS
192.168.11.191,443,https
192.168.11.152,3306,MySQL
192.168.11.19,4369,Erlang Port Mapper
192.168.11.85,3306,MySQL
192.168.11.30,3389,Remote Desktop Protocol (RDP)
192.168.11.63,3306,MySQL
192.168.11.131,3306,MySQL
192.168.11.96,445,SMB
192.168.11.76,3306,MySQL
192.168.11.49,3306,MySQL
192.168.11.157,445,SMB
192.168.11.151,3306,MySQL
192.168.11.106,445,SMB
192.168.11.86,3306,MySQL
192.168.11.61,8443,https
192.168.11.188,443,https
192.168.11.102,3306,MySQL
192.168.11.59,3306,MySQL
192.168.11.130,3306,MySQL
192.168.11.155,3306,MySQL
192.168.11.44,3306,MySQL
192.168.11.195,3306,MySQL
192.168.11.191,3306,MySQL
192.168.11.191,6379,redis_server
192.168.11.157,3306,MySQL
192.168.11.106,3389,Remote Desktop Protocol (RDP)
192.168.11.188,3306,MySQL
192.168.11.157,8088,http
192.168.11.188,6379,redis_server
